"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"31.01.2015 22:00";"25.2";"48";"2.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"31.01.2015 23:00";"24.0";"50";"2.4";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 00:00";"23.6";"52";"2.3";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 01:00";"22.6";"54";"2.3";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 02:00";"21.9";"55";"2.1";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 03:00";"21.4";"56";"2.0";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 04:00";"21.0";"56";"1.0";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 05:00";"20.8";"56";"1.0";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 06:00";"20.6";"56";"1.1";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 07:00";"20.4";"56";"1.3";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 08:00";"20.2";"56";"1.1";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 09:00";"20.0";"56";"1.2";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 10:00";"20.4";"67";"1.7";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 11:00";"20.7";"75";"2.8";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 12:00";"20.9";"70";"2.5";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 13:00";"20.7";"74";"3.9";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 14:00";"20.4";"67";"5.0";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 15:00";"20.8";"64";"8.8";"73";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 16:00";"23.2";"57";"9.2";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 17:00";"24.6";"51";"8.6";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 18:00";"24.5";"51";"8.2";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 19:00";"25.0";"53";"8.4";"64";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 20:00";"26.6";"49";"7.9";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 21:00";"25.9";"51";"5.9";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 22:00";"25.6";"51";"6.6";"70";"---";"---";"---";"---";"---";"---";"---";"---"
"01.02.2015 23:00";"24.8";"52";"6.4";"71";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 00:00";"23.9";"54";"5.7";"73";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 01:00";"23.1";"55";"6.0";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 02:00";"22.5";"56";"5.7";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 03:00";"22.0";"57";"5.7";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 04:00";"21.7";"57";"4.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 05:00";"21.5";"58";"4.2";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 06:00";"21.3";"58";"5.1";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 07:00";"21.1";"58";"4.2";"77";"---";"---";"---";"---";"---";"---";"---";"---"
